QS_ID;Q_ID;QS_N;QS_Name;QS_Y;QS_Ans
2967;1323;1;"Газосигнализаторы";False;False
2968;1323;2;"Вентиляция";True;False
2969;1323;3;"Пылеулавливающие устройства";False;False
2970;1323;4;"Противогазы, респираторы";False;False
2971;1324;1;"влажности, температуры воздуха";False;False
2972;1324;2;"времени года";True;False
2973;1324;3;"категории выполняемых работ";True;False
2974;1324;4;"скорость движения воздуха";False;False
2975;1325;1;"Лазерное излучение";False;False
2976;1325;2;"Альфа, Бета частицы";True;False
2977;1325;3;"Радиочастотные излучения";False;False
2978;1325;4;"Гамма, Рентгеновское излучение";True;False
2979;1326;1;"Степени напряженности зрительных работ";True;False
2980;1326;2;"Коэффициента светового климата";True;False
2981;1326;3;"Системы освещения";True;False
2982;1326;4;"Географической широты";False;False
2983;1327;1;"Уровень звука";True;False
2984;1327;2;"Интенсивность звука";False;False
2985;1327;3;"Уровень звукового давления";True;False
2986;1327;4;"Акустическая мощность";False;False
2987;1328;1;"Упругие прокладки (резиновые)";True;False
2988;1328;2;"Комбинированные";True;False
2989;1328;3;"Пружинные";True;False
2990;1328;4;"Виброгасители";False;False
2991;1329;1;"Предельно допустимой среднесуточной концентрацией вещества";False;False
2992;1329;2;"Предельно допустимой максимально разовой концентрацией вещества в воздухе рабочей зоны";False;False
2993;1329;3;"Предельно допустимой концентрацией вещества в воздухе рабочей зоны";True;False
2994;1329;4;"Предельно допустимым уровнем вещества в воздухе рабочей зоны";False;False
2995;1330;1;"Воздушный душ";True;False
2996;1330;2;" Воздушная завеса";True;False
2997;1330;3;"Воздушный зонт";False;False
2998;1330;4;"Воздушный оазис";True;False
3000;1332;1;"Оранжевый";True;False
3001;1332;2;"Сине-зеленый";True;False
3002;1332;3;"Бесцветное стекло";True;False
3003;1332;4;"Светло коричневое";False;False
3004;1331;1;"ПДК";False;False
3005;1334;1;"Альфа частицы";False;False
3006;1334;2;"Гамма лучи";True;False
3007;1334;3;"Рентгеновские лучи";True;False
3008;1334;4;"Бета излучения";False;False
3010;1335;1;"виброизоляция";True;False
3011;1336;1;"линзы";False;False
3012;1337;1;"Разбавление вредных веществ до предельно допустимых концентраций.";True;False
3013;1337;2;"Разбавление тепловыделений до предельно допустимых норм.";True;False
3014;1337;3;"Удаление вредных веществ их мест их выделения.";False;False
3015;1337;4;"Разбавление влагоовыделений до предельно допустимых норм.";True;False
3016;1338;1;"Площадь звукопоглащения помещения после акустической обработки.";True;False
3017;1338;2;"Коэффициент звукопоглащения облицовки.";True;False
3018;1338;3;"Высота расположения облицовок над источниками шума.";True;False
3019;1338;4;"Конфигурация помещения.";True;False
3020;1339;1;"2 классу опасности";False;False
3021;1339;2;"3 классу опасности";False;False
3022;1339;3;"4 классу опасности";False;False
3023;1339;4;"1 классу опасности";True;False
3024;1340;1;"На отражении звуковой энергии к источнику шума.";True;False
3025;1340;2;"Перехода энергии колеблющихся частиц воздуха в теплоту.";False;False
3026;1340;3;"На рассеивании энергии колеблющихся частиц воздуха";False;False
3027;1340;4;"Поглощении звуковой энергии звукопоглощающим материалом.";False;False
3028;1341;1;"атмосферное давление";False;False
3029;1341;2;"относительная влажность";True;False
3030;1341;3;"скорость движения воздуха";True;False
3031;1341;4;"температура";True;False
3032;1342;1;"Воздушные души";False;False
3033;1342;2;"Воздушные завесы";False;False
3034;1342;3;"Вытяжной зонт";True;False
3035;1342;4;"Вытяжной шкаф";True;False
3036;1343;1;"Листовой аллюминий";True;False
3037;1343;2;"Асбест";False;False
3038;1343;3;"Белая жесть";True;False
3039;1343;4;"Аллюминиевая техническая фольга";True;False
3040;1344;1;"Приточная";False;False
3041;1344;2;"Общеобменная";False;False
3042;1344;3;"Вытяжная закрытого или открытого типа";True;False
3043;1344;4;"Аэрация закрытого типа";False;False
3044;1345;1;"Раздражающие";False;False
3045;1345;2;"Сенсибилизирующие";False;False
3046;1345;3;"Общетоксические";True;False
3047;1345;4;"Отравляющие";False;False
3048;1346;1;" Доза облучения";True;False
3049;1346;2;" Вид ионизирующего излучения";True;False
3050;1346;3;"Путь воздействия ионизирующего излучения";False;False
3051;1346;4;"Время действия";True;False
3052;1347;1;"глаза";True;False
3053;1348;1;"Белая жесть";False;False
3054;1348;2;"Специальный бетон";True;False
3055;1348;3;"Минеральная вата";True;False
3056;1348;4;"Асбест";True;False
3057;1348;5;"Алюминиевая фольга";False;False
3058;1349;1;"кондиционер";True;False
3059;1350;1;"Способ передачи вибрации";True;False
3060;1350;2;"Направление действия вибрации";True;False
3061;1350;3;"Источник вибрации";True;False
3062;1350;4;"Время действия";True;False
3063;1351;1;"Наушники";True;False
3064;1351;2;"Вкладыши";True;False
3065;1351;3;"Шлемофоны";True;False
3066;1351;4;"Шумоизоляторы";False;False
3067;1352;1;"Уменьшится в 2 раза.";False;False
3068;1352;2;"Увеличится в 2 раза.";False;False
3069;1352;3;"Останется без изменения.";True;False
3070;1352;4;"Уменьшится в 3 раза.";False;False
3071;1353;1;"энергетическая экспозиция";True;False
3072;1353;2;"поверхностная плотность потока";False;False
3073;1353;3;"облученность";True;False
3074;1353;4;"энергетическая освещенность";False;False
3075;1354;1;"Вытяжная";False;False
3076;1354;2;"Приточная";False;False
3077;1354;3;"Общеобменная";True;False
3078;1354;4;"Местная";False;False
3079;1355;1;"Транспортная";True;False
3080;1355;2;"Промышленная";False;False
3081;1355;3;"Технологическая";True;False
3082;1355;4;"Транспортно-технологическая";True;False
3083;1356;1;"Виброскорость";True;False
3084;1356;2;"Интенсивность";False;False
3085;1356;3;"Виброускорение";True;False
3086;1356;4;"Амплитуда";False;False
3087;1357;1;"Инфильтрация";True;False
3088;1357;2;"Проветривание";True;False
3089;1357;3;"Аэрация";False;False
3090;1357;4;"Инжекция";False;False
3091;1358;1;"Среднее";False;False
3092;1358;2;"Максимальное";False;False
3093;1358;3;"Минимальное";True;False
3094;1358;4;"Среднеарифметическое";False;False
3095;1359;1;"Общего искусственного и естественного освещения.";True;False
3096;1359;2;"Общего и местного искусственного освещения.";False;False
3097;1359;3;"Бокового и верхнего освещения.";False;False
3098;1360;1;"Уменьшаются";False;False
3099;1360;2;"Температура уменьшается, а скорость возрастает";True;False
3100;1360;3;"Температура возрастает, а скорость уменьшается";False;False
3101;1360;4;"Температура уменьшится, а скорость останется прежней";False;False
3102;1361;1;"Люкс";True;False
3103;1361;2;"Кандела";False;False
