T_ID;T_Name;T_Theory;T_Modt;T_ModR;T_Kol
14;"Производственная санитария";0;0;10
15;"Расследование несчастных случаев на производстве";0;0;10
16;"Основы электробезопасности";0;0;10
18;"Тестирование по курсу";1;0;20
19;"Лазерное излучение";0;0;10
20;"Организационные мероприятия,обеспечивающие безопасность работ,проводимых в электроустановках";0;1;10
21;"Ответственность за нарушение трудового законодательства и законодательства об охране труда";0;0;10
22;"Общие вопросы охраны труда";0;0;20
24;"Первая помощь";0;0;20
25;"Пожарная безопасность";0;0;10
